Artist,Title,Air Time_x,Play,Year,Letter,First Word,Duration,Air Time_y
Rickie Lee Jones,Chuck E's In Love,2017-12-01 02:34:00,0,1979,C,Chuck,3,2016-12-02 09:22:00
Faces,Cindy Incidentally,2017-12-01 02:37:00,0,1973,C,Cindy,3,2016-12-02 09:52:00
Arlo Guthrie,City Of New Orleans,2017-12-01 03:06:00,0,1972,C,City,4,2016-12-02 10:11:00
The Clash,Clash City Rockers,2017-12-01 03:36:00,0,1979,C,Clash,4,2016-12-02 10:28:00
Betty Wright,Clean Up Woman,2017-12-01 03:40:00,0,1972,C,Clean,4,2016-12-02 10:39:00
Ian Hunter,Cleveland Rocks,2017-12-01 03:52:00,0,1979,C,Cleveland,5,2016-12-02 10:42:00
Yes,Close To The Edge,2017-12-01 04:02:00,0,1972,C,Close,18,2016-12-02 11:20:00
Eric Clapton,Cocaine,2017-12-01 04:34:00,0,1977,C,Cocaine,4,2016-12-02 12:52:00
J. J. Cale,Cocaine,2017-12-01 04:38:00,0,1976,C,Cocaine,2,2016-12-02 12:56:00
Jackson Browne,Cocaine,2017-12-01 04:40:00,0,1977,C,Cocaine,5,2016-12-02 12:59:00
Harry Nilsson,Coconut,2017-12-01 04:45:00,0,1971,C,Coconut,3,2016-12-02 13:04:00
Little Feat,"Cold, Cold, Cold",2017-12-01 05:08:00,0,1972,C,Cold,4,2016-12-02 14:05:00
Fleetwood Mac,Come A Little Bit Closer,2017-12-01 05:19:00,0,1974,C,Come,5,2016-12-02 14:17:00
Badfinger,Come And Get It,2017-12-01 05:24:00,0,1970,C,Come,3,2016-12-02 14:25:00
The Allman Brothers,Come And Go Blues,2017-12-01 05:32:00,0,1973,C,Come,5,2016-12-02 14:28:00
Jeff Beck,Come Dancing,2017-12-01 05:41:00,0,1976,C,Come,6,2016-12-02 14:50:00
Elton John,Come Down In Time,2017-12-01 05:47:00,0,1971,C,Come,3,2016-12-02 15:00:00
Marvin Gaye,Come Get To This,2017-12-01 05:50:00,0,1973,C,Come,5,2016-12-02 15:03:00
The Staple Singers,Come Go With Me,2017-12-01 05:55:00,0,1973,C,Come,3,2016-12-02 15:06:00
Van Morrison,Come Running,2017-12-01 06:11:00,0,1970,C,Come,3,2016-12-02 15:27:00
Neil Young,Comes A Time,2017-12-01 06:30:00,0,1978,C,Comes,3,2016-12-02 15:50:00
Pink Floyd,Comfortably Numb,2017-12-01 06:33:00,0,1979,C,Comfortably,9,2016-12-02 16:00:00
Paul Simon,Congratulations,2017-12-01 07:13:00,0,1972,C,Congratulations,4,2016-12-02 17:07:00
Procol Harum,Conquistador,2017-12-01 07:17:00,0,1972,C,Conquistador,8,2016-12-02 17:12:00
Joni Mitchell,Conversation,2017-12-01 07:34:00,0,1970,C,Conversation,7,2016-12-02 17:38:00
Neil Young,Cortez The Killer,2017-12-01 08:16:00,0,1975,C,Cortez,12,2016-12-02 18:01:00
Frank Zappa,Cosmik Debris,2017-12-01 08:33:00,0,1974,C,Cosmik,7,2016-12-02 18:08:00
The Spinners,Could It Be I'm Falling In Love,2017-12-01 08:48:00,0,1973,C,Could,8,2016-12-02 18:14:00
Climax Blues Band,Couldn't Get It Right,2017-12-01 08:56:00,0,1976,C,Couldn't,4,2016-12-02 18:22:00
Todd Rundgren,Couldn't I Just Tell You,2017-12-01 09:00:00,0,1975,C,Couldn't,3,2016-12-02 18:25:00
Elton John,Country Comfort,2017-12-01 09:07:00,0,1971,C,Country,7,2016-12-02 18:42:00
Crosby Stills Nash & Young,Country Girl,2017-12-01 09:14:00,0,1970,C,Country,5,2016-12-02 18:47:00
Joni Mitchell,Court & Spark,2017-12-01 09:30:00,0,1974,C,Court,3,2016-12-02 18:57:00
Joni Mitchell,Coyote,2017-12-01 09:46:00,0,1976,C,Coyote,6,2016-12-02 19:24:00
George Harrison,Crackerbox Palace,2017-12-01 09:55:00,0,1976,C,Crackerbox,5,2016-12-02 19:30:00
Nick Lowe,Cracking Up,2017-12-01 10:00:00,0,1979,C,Cracking,3,2016-12-02 19:34:00
Bob Marley & The Wailers,Crazy Baldhead,2017-12-01 10:11:00,0,1976,C,Crazy,3,2016-12-02 20:17:00
The Allman Brothers,Crazy Love,2017-12-01 10:27:00,0,1979,C,Crazy,4,2016-12-02 20:20:00
Van Morrison,Crazy Love,2017-12-01 10:31:00,0,1970,C,Crazy,3,2016-12-02 20:24:00
J. J. Cale,Crazy Mama,2017-12-01 10:34:00,0,1972,C,Crazy,2,2016-12-02 20:28:00
The Rolling Stones,Crazy Mama,2017-12-01 10:36:00,0,1976,C,Crazy,5,2016-12-02 20:30:00
Supertramp,Crime Of The Century,2017-12-01 10:54:00,0,1974,C,Crime,6,2016-12-02 20:54:00
John Lennon,Crippled Inside,2017-12-01 11:02:00,0,1971,C,Crippled,6,2016-12-02 21:15:00
Jethro Tull,Cross-eyed Mary,2017-12-01 11:18:00,0,1971,C,Cross-eyed,4,2016-12-02 21:30:00
